sim,day,acceptance_used,pref_public,acceptance_next
1,1,0.3,1.0,0.44
1,2,0.44,1.0,0.552
1,3,0.552,1.0,0.6416000000000001
1,4,0.6416000000000001,1.0,0.7132800000000001
1,5,0.7132800000000001,1.0,0.7706240000000002
1,6,0.7706240000000002,1.0,0.8164992000000002
1,7,0.8164992000000002,1.0,0.8531993600000003
1,8,0.8531993600000003,1.0,0.8825594880000003
1,9,0.8825594880000003,0.9999999999999989,0.9060475904
1,10,0.9060475904,0.9999999999689064,0.9248380723137813
1,11,0.9248380723137813,0.9999998911030928,0.9398704360716437
1,12,0.9398704360716437,0.9999328692004105,0.951882922697397
1,13,0.951882922697397,0.9902035835060072,0.9595470548591192
1,14,0.9595470548591192,0.7782721834523992,0.9232920805777752
