policy_id,sim,day,entity,mode,n,mean_effectiveTime,mean_duration,mean_waitingTime,mean_departDelay,mean_timeLoss,mean_routeLength,sum_CO2_abs,mean_CO2_abs
grid_bus_stops_UserPreference_Baseline_10000,1,1,person,person,2998,335.59406270847234,335.59406270847234,301.3305537024683,0.0,7.544539693128752,0.0,0.0,0.0
grid_bus_stops_UserPreference_Baseline_10000,1,1,vehicle,bus,432,152.69212962962962,152.69212962962962,1.6064814814814814,0.0,24.19097222222222,778.0799999999998,144862842.465278,335330.65385481017
grid_bus_stops_UserPreference_Baseline_10000,1,1,vehicle,car,6995,60.28312508934954,59.90393137955682,1.7601143674052895,0.3791937097927091,14.77876626161544,574.0937869907076,1260986126.782025,180269.63928263405
grid_bus_stops_UserPreference_Baseline_10000,1,2,person,person,3690,334.9338753387534,334.9338753387534,300.6149051490515,0.0,7.2274363143631435,0.0,0.0,0.0
grid_bus_stops_UserPreference_Baseline_10000,1,2,vehicle,bus,432,152.09722222222223,152.09722222222223,1.150462962962963,0.0,23.572430555555556,778.0799999999998,144125001.601243,333622.6888917662
grid_bus_stops_UserPreference_Baseline_10000,1,2,vehicle,car,6313,59.152786313955325,58.6435925867258,1.1229209567559004,0.5091937272295264,13.517562173293204,573.5811024869317,1120337807.438768,177465.1999744603
grid_bus_stops_UserPreference_Baseline_10000,1,3,person,person,4179,331.3003110792055,331.3003110792055,296.77985163914815,0.0,7.1452452739889925,0.0,0.0,0.0
grid_bus_stops_UserPreference_Baseline_10000,1,3,vehicle,bus,432,151.7939814814815,151.7939814814815,1.0462962962962963,0.0,23.306944444444444,778.0799999999998,143892733.704305,333085.0317229282
grid_bus_stops_UserPreference_Baseline_10000,1,3,vehicle,car,5822,58.4661989007214,57.95293713500515,0.9118859498454139,0.5132617657162487,12.913438680865681,572.8543198213672,1026393607.931854,176295.70730536827
grid_bus_stops_UserPreference_Baseline_10000,1,4,person,person,4525,334.9345856353591,334.9345856353591,300.3449723756906,0.0,7.040050828729282,0.0,0.0,0.0
grid_bus_stops_UserPreference_Baseline_10000,1,4,vehicle,bus,432,151.71064814814815,151.71064814814815,0.9004629629629629,0.0,23.20835648148148,778.0799999999998,143921985.545716,333152.744318787
grid_bus_stops_UserPreference_Baseline_10000,1,4,vehicle,car,5470,58.276363802559416,57.77605118829982,0.8323583180987203,0.5003126142595978,12.734696526508225,572.7144186471663,961686812.284485,175811.1174194671
grid_bus_stops_UserPreference_Baseline_10000,1,5,person,person,4772,334.1028918692372,334.1028918692372,299.43378038558257,0.0,6.998713327745181,0.0,0.0,0.0
grid_bus_stops_UserPreference_Baseline_10000,1,5,vehicle,bus,432,151.45138888888889,151.45138888888889,0.875,0.0,22.959930555555555,778.0799999999998,143549246.356674,332289.9221219305
grid_bus_stops_UserPreference_Baseline_10000,1,5,vehicle,car,5228,58.24877773527161,57.73967100229533,0.8075745983167559,0.5091067329762816,12.752136572302984,572.6399808722265,919715422.702303,175921.08314887204
grid_bus_stops_UserPreference_Baseline_10000,1,6,person,person,4945,334.02244691607683,334.02244691607683,299.28412537917086,0.0,6.9664914054600615,0.0,0.0,0.0
grid_bus_stops_UserPreference_Baseline_10000,1,6,vehicle,bus,432,151.52083333333334,151.52083333333334,0.8148148148148148,0.0,23.00222222222222,778.0799999999998,143563336.544151,332322.53829664586
grid_bus_stops_UserPreference_Baseline_10000,1,6,vehicle,car,5051,58.132205503860625,57.625618689368444,0.6834290239556523,0.5065868144921798,12.543725994852505,573.0769134824787,886961391.183421,175601.14654195626
grid_bus_stops_UserPreference_Baseline_10000,1,7,person,person,5066,332.6758784050533,332.6758784050533,297.81385708645877,0.0,7.021575207264115,0.0,0.0,0.0
grid_bus_stops_UserPreference_Baseline_10000,1,7,vehicle,bus,432,151.59953703703704,151.59953703703704,0.9513888888888888,0.0,23.11724537037037,778.0799999999998,143674454.896499,332579.7567048588
grid_bus_stops_UserPreference_Baseline_10000,1,7,vehicle,car,4924,58.068334687246136,57.560316815597076,0.6137286758732737,0.5080178716490658,12.440824532900082,573.4864439480098,863148659.011952,175294.20369860926
grid_bus_stops_UserPreference_Baseline_10000,1,8,person,person,5155,334.5579049466537,334.5579049466537,299.7193016488846,0.0,6.955600387972843,0.0,0.0,0.0
grid_bus_stops_UserPreference_Baseline_10000,1,8,vehicle,bus,432,151.46064814814815,151.46064814814815,0.8449074074074074,0.0,22.94990740740741,778.0799999999998,143497679.777809,332170.5550412245
grid_bus_stops_UserPreference_Baseline_10000,1,8,vehicle,car,4835,58.14837642192348,57.65604963805584,0.7071354705274043,0.49232678386763185,12.526024819027922,573.345019648397,849846200.074995,175769.6380713537
grid_bus_stops_UserPreference_Baseline_10000,1,9,person,person,5213,335.9858047189718,335.9858047189718,301.08267792058314,0.0,6.979938615000959,0.0,0.0,0.0
grid_bus_stops_UserPreference_Baseline_10000,1,9,vehicle,bus,432,151.53240740740742,151.53240740740742,0.8912037037037037,0.0,23.034907407407406,778.0799999999998,143617648.632921,332448.2607243542
grid_bus_stops_UserPreference_Baseline_10000,1,9,vehicle,car,4772,57.993520536462704,57.50733445096396,0.585498742665549,0.48618608549874265,12.388097233864208,573.31327116513,836656449.907878,175326.16301506246
