sim,day,acceptance_used,pref_public,acceptance_next
1,1,0.3,1.0,0.44
1,2,0.44,1.0,0.552
1,3,0.552,1.0,0.6416000000000001
1,4,0.6416000000000001,1.0,0.7132800000000001
1,5,0.7132800000000001,1.0,0.7706240000000002
1,6,0.7706240000000002,1.0,0.8164992000000002
1,7,0.8164992000000002,1.0,0.8531993600000003
1,8,0.8531993600000003,1.0,0.8825594880000003
1,9,0.8825594880000003,1.0,0.9060475904000003
1,10,0.9060475904000003,0.9999999999962887,0.9248380723192581
1,11,0.9248380723192581,0.9999999809457109,0.9398704540445487
1,12,0.9398704540445487,0.9999822827866113,0.9518928197929613
1,13,0.9518928197929613,0.9967410543831298,0.9608624667109951
1,14,0.9608624667109951,0.7940108246652151,0.9274921383018391
