policy_id,sim,day,entity,mode,n,mean_effectiveTime,mean_duration,mean_waitingTime,mean_departDelay,mean_timeLoss,mean_routeLength,sum_CO2_abs,mean_CO2_abs
grid_more_buses_UserPreference_Baseline_10000,1,1,person,person,3005,184.291846921797,184.291846921797,150.7054908485857,0.0,7.547500831946756,0.0,0.0,0.0
grid_more_buses_UserPreference_Baseline_10000,1,1,vehicle,bus,864,153.0474537037037,153.0150462962963,1.3657407407407407,0.032407407407407406,24.21769675925926,779.5066666666667,290757965.115177,336525.42258701037
grid_more_buses_UserPreference_Baseline_10000,1,1,vehicle,car,6995,65.74931522516083,65.1518227305218,4.357541100786276,0.5974924946390279,19.870367405289493,576.3239228020014,1342040526.917744,191857.1160711571
grid_more_buses_UserPreference_Baseline_10000,1,2,person,person,3807,184.91857105332284,184.91857105332284,151.217231415813,0.0,7.481510375623851,0.0,0.0,0.0
grid_more_buses_UserPreference_Baseline_10000,1,2,vehicle,bus,864,153.00578703703704,152.93634259259258,1.2986111111111112,0.06944444444444445,24.119664351851853,779.5066666666667,290569166.05765903,336306.9051593276
grid_more_buses_UserPreference_Baseline_10000,1,2,vehicle,car,6193,64.30799935410948,63.636040691102856,3.816890037138705,0.6719586630066203,18.372996932020023,575.6686969158728,1168552237.018002,188689.20345842114
grid_more_buses_UserPreference_Baseline_10000,1,3,person,person,4370,183.93684210526317,183.93684210526317,150.2736842105263,0.0,7.3145057208237985,0.0,0.0,0.0
grid_more_buses_UserPreference_Baseline_10000,1,3,vehicle,bus,864,152.58564814814815,152.51967592592592,1.0798611111111112,0.06597222222222222,23.733958333333334,779.5066666666667,290005427.474976,335654.4299478889
grid_more_buses_UserPreference_Baseline_10000,1,3,vehicle,car,5629,63.320442352105175,62.69461716112986,3.2993426896429208,0.6258251909753064,17.445382838870135,575.1460792325458,1051030373.72053,186717.0676355534
grid_more_buses_UserPreference_Baseline_10000,1,4,person,person,4774,182.63028906577293,182.63028906577293,148.92689568496021,0.0,7.267982823627984,0.0,0.0,0.0
grid_more_buses_UserPreference_Baseline_10000,1,4,vehicle,bus,864,152.48611111111111,152.43865740740742,1.0150462962962963,0.047453703703703706,23.650555555555556,779.5066666666667,289728130.417693,335333.4842797373
grid_more_buses_UserPreference_Baseline_10000,1,4,vehicle,car,5233,62.93983948022167,62.31339575769157,3.1620485381234475,0.6264437225300974,17.10863749283394,574.9813109115231,974522731.836687,186226.3962997682
grid_more_buses_UserPreference_Baseline_10000,1,5,person,person,5052,181.99544734758513,181.99544734758513,148.22802850356294,0.0,7.254752573238322,0.0,0.0,0.0
grid_more_buses_UserPreference_Baseline_10000,1,5,vehicle,bus,864,152.58564814814815,152.53472222222223,1.0034722222222223,0.05092592592592592,23.723553240740742,779.5066666666667,289709287.079172,335311.6748601528
grid_more_buses_UserPreference_Baseline_10000,1,5,vehicle,car,4947,62.624232868405095,62.00303214069133,3.0204164139882757,0.6212007277137659,16.74992520719628,575.5771336163332,918534822.46359,185675.12077291086
grid_more_buses_UserPreference_Baseline_10000,1,6,person,person,5246,184.5228745711018,184.5228745711018,150.62847884102172,0.0,7.335505146778497,0.0,0.0,0.0
grid_more_buses_UserPreference_Baseline_10000,1,6,vehicle,bus,864,152.62152777777777,152.57986111111111,1.0729166666666667,0.041666666666666664,23.774525462962963,779.5066666666667,290150585.928784,335822.4374175741
grid_more_buses_UserPreference_Baseline_10000,1,6,vehicle,car,4749,63.01073910296905,62.40619077700568,3.208254369340914,0.6045483259633607,17.12394609391451,575.5861276058117,885373680.349996,186433.7082227829
grid_more_buses_UserPreference_Baseline_10000,1,7,person,person,5393,184.1017986278509,184.1017986278509,150.166326719822,0.0,7.345883552753569,0.0,0.0,0.0
grid_more_buses_UserPreference_Baseline_10000,1,7,vehicle,bus,864,152.69444444444446,152.64699074074073,1.1122685185185186,0.047453703703703706,23.843738425925928,779.5066666666667,290013064.368705,335663.2689452604
grid_more_buses_UserPreference_Baseline_10000,1,7,vehicle,car,4606,62.595818497611816,61.99088145896656,3.0325662179765525,0.6049370386452454,16.747438124185845,575.8188102475033,855516956.646804,185739.67795197654
grid_more_buses_UserPreference_Baseline_10000,1,8,person,person,5493,185.07500455124705,185.07500455124705,151.14727835426908,0.0,7.293748407063535,0.0,0.0,0.0
grid_more_buses_UserPreference_Baseline_10000,1,8,vehicle,bus,864,152.52199074074073,152.48842592592592,1.0011574074074074,0.03356481481481482,23.687175925925928,779.5066666666667,289832103.012165,335453.82293074654
grid_more_buses_UserPreference_Baseline_10000,1,8,vehicle,car,4502,62.374802310084405,61.892047978676146,2.913593958240782,0.482754331408263,16.594104842292314,575.947330075522,834379713.996905,185335.34295799755
grid_more_buses_UserPreference_Baseline_10000,1,9,person,person,5559,183.9904659111351,183.9904659111351,150.03453858607662,0.0,7.326878935060263,0.0,0.0,0.0
grid_more_buses_UserPreference_Baseline_10000,1,9,vehicle,bus,864,152.65740740740742,152.62384259259258,1.0416666666666667,0.03356481481481482,23.816990740740742,779.5066666666667,289973551.027092,335617.5359109861
grid_more_buses_UserPreference_Baseline_10000,1,9,vehicle,car,4437,62.287949064683346,61.704530087897226,2.8589136804146946,0.5834189767861168,16.44070993914807,575.9455848546315,821975379.223712,185254.76205177192
grid_more_buses_UserPreference_Baseline_10000,1,10,person,person,5610,183.1969696969697,183.1969696969697,149.28288770053476,0.0,7.266663101604279,0.0,0.0,0.0
grid_more_buses_UserPreference_Baseline_10000,1,10,vehicle,bus,864,152.53009259259258,152.49537037037038,1.0729166666666667,0.034722222222222224,23.689953703703704,779.5066666666667,289638589.45611,335229.84890753473
grid_more_buses_UserPreference_Baseline_10000,1,10,vehicle,car,4390,62.367084282460134,61.79567198177676,2.8899772209567196,0.5714123006833713,16.525343963553528,575.7664692482915,813789570.503685,185373.47847464352
grid_more_buses_UserPreference_Baseline_10000,1,11,person,person,5658,183.926475786497,183.926475786497,150.0213856486391,0.0,7.246785083068222,0.0,0.0,0.0
grid_more_buses_UserPreference_Baseline_10000,1,11,vehicle,bus,864,152.47222222222223,152.42708333333334,0.9479166666666666,0.04513888888888889,23.61423611111111,779.5066666666667,289702194.050518,335303.46533624764
grid_more_buses_UserPreference_Baseline_10000,1,11,vehicle,car,4349,62.039519429753966,61.446309496435966,2.7461485398942287,0.5932099333180041,16.208096114049205,575.9949229707979,803540697.902562,184764.4741095797
grid_more_buses_UserPreference_Baseline_10000,1,12,person,person,5675,185.22643171806166,185.22643171806166,151.29251101321586,0.0,7.2718220264317175,0.0,0.0,0.0
grid_more_buses_UserPreference_Baseline_10000,1,12,vehicle,bus,864,152.5127314814815,152.46412037037038,0.9837962962962963,0.04861111111111111,23.67403935185185,779.5066666666667,289562123.418571,335141.346549272
grid_more_buses_UserPreference_Baseline_10000,1,12,vehicle,car,4331,62.446647425536824,61.8337566381898,2.94019856845994,0.612890787347033,16.561396906026324,576.1010851997229,804031085.814878,185645.59820246548
grid_more_buses_UserPreference_Baseline_10000,1,13,person,person,5689,184.49499033222008,184.49499033222008,150.545438565653,0.0,7.274629987695553,0.0,0.0,0.0
grid_more_buses_UserPreference_Baseline_10000,1,13,vehicle,bus,864,152.5497685185185,152.50115740740742,1.0324074074074074,0.04861111111111111,23.702372685185182,779.5066666666667,289829988.307632,335451.37535605556
grid_more_buses_UserPreference_Baseline_10000,1,13,vehicle,car,4311,62.2251867316168,61.6151704940849,2.852006495012758,0.6100162375318952,16.33586870795639,576.0933890048713,797806303.859211,185062.93292953164
grid_more_buses_UserPreference_Baseline_10000,1,14,person,person,5702,184.19887758681165,184.19887758681165,150.17888460189408,0.0,7.3517660470010515,0.0,0.0,0.0
grid_more_buses_UserPreference_Baseline_10000,1,14,vehicle,bus,864,152.71064814814815,152.65277777777777,1.0219907407407407,0.05787037037037037,23.84233796296296,779.5066666666667,289891517.584833,335522.5897972605
grid_more_buses_UserPreference_Baseline_10000,1,14,vehicle,car,4299,62.344652244708065,61.74110258199581,2.905326820190742,0.6035496627122586,16.484447545940917,576.1804791812049,797331138.919885,185468.97858103862
