step_arrived;step_collisions;step_duration;step_ended;step_halting;step_inserted;step_loaded;step_meanSpeed;step_meanSpeedRelative;step_meanTravelTime;step_meanWaitingTime;step_running;step_stopped;step_teleports;step_time;step_waiting
0;0;1;0;1;1;1;0.00;0.00;-1.00;0.00;1;0;0;0.00;0
0;0;0;0;0;1;1;2.22;0.16;-1.00;0.00;1;0;0;1.00;0
0;0;0;0;0;1;1;4.73;0.34;-1.00;0.00;1;0;0;2.00;0
0;0;0;0;0;1;1;7.07;0.51;-1.00;0.00;1;0;0;3.00;0
0;0;0;0;0;1;1;9.36;0.67;-1.00;0.00;1;0;0;4.00;0
0;0;0;0;0;1;1;11.69;0.84;-1.00;0.00;1;0;0;5.00;0
0;0;0;0;1;2;2;6.56;0.47;-1.00;0.00;2;0;0;6.00;0
0;0;0;0;0;2;2;7.20;0.52;-1.00;0.00;2;0;0;7.00;0
0;0;0;0;0;2;2;8.28;0.60;-1.00;0.00;2;0;0;8.00;0
0;0;0;0;0;2;2;9.78;0.70;-1.00;0.00;2;0;0;9.00;0
0;0;0;0;0;2;2;10.79;0.78;-1.00;0.00;2;0;0;10.00;0
0;0;0;0;0;2;2;11.25;0.81;-1.00;0.00;2;0;0;11.00;0
0;0;1;0;1;3;3;8.08;0.58;-1.00;0.00;3;0;0;12.00;0
0;0;0;0;0;3;3;9.12;0.66;-1.00;0.00;3;0;0;13.00;0
0;0;0;0;0;3;3;10.15;0.73;-1.00;0.00;3;0;0;14.00;0
0;0;0;0;0;3;3;10.89;0.78;-1.00;0.00;3;0;0;15.00;0
0;0;1;0;0;3;3;11.19;0.81;-1.00;0.00;3;0;0;16.00;0
0;0;0;0;0;3;3;11.65;0.84;-1.00;0.00;3;0;0;17.00;0
0;0;0;0;1;4;4;9.24;0.67;-1.00;0.00;4;0;0;18.00;0
0;0;0;0;0;4;4;9.82;0.71;-1.00;0.00;4;0;0;19.00;0
0;0;0;0;0;4;4;10.60;0.76;-1.00;0.00;4;0;0;20.00;0
0;0;0;0;0;4;4;11.26;0.81;-1.00;0.00;4;0;0;21.00;0
0;0;0;0;0;4;4;11.49;0.83;-1.00;0.00;4;0;0;22.00;0
0;0;0;0;0;4;4;12.18;0.88;-1.00;0.00;4;0;0;23.00;0
0;0;0;0;1;5;5;10.16;0.73;-1.00;0.00;5;0;0;24.00;0
0;0;0;0;0;5;5;11.26;0.81;-1.00;0.00;5;0;0;25.00;0
0;0;0;0;0;5;5;11.78;0.85;-1.00;0.00;5;0;0;26.00;0
0;0;0;0;0;5;5;11.90;0.86;-1.00;0.00;5;0;0;27.00;0
0;0;0;0;0;5;5;12.16;0.88;-1.00;0.00;5;0;0;28.00;0
0;0;0;0;0;5;5;12.26;0.88;-1.00;0.00;5;0;0;29.00;0
0;0;0;0;1;6;6;10.86;0.78;-1.00;0.00;6;0;0;30.00;0
0;0;0;0;0;6;6;10.99;0.79;-1.00;0.00;6;0;0;31.00;0
0;0;0;0;0;6;6;10.78;0.78;-1.00;0.00;6;0;0;32.00;0
0;0;0;0;0;6;6;10.57;0.76;-1.00;0.00;6;0;0;33.00;0
0;0;0;0;0;6;6;10.82;0.78;-1.00;0.00;6;0;0;34.00;0
0;0;0;0;0;6;6;11.24;0.81;-1.00;0.00;6;0;0;35.00;0
0;0;1;0;1;7;7;10.04;0.72;-1.00;0.00;7;0;0;36.00;0
0;0;0;0;0;7;7;10.76;0.77;-1.00;0.00;7;0;0;37.00;0
0;0;1;0;0;7;7;11.13;0.80;-1.00;0.00;7;0;0;38.00;0
0;0;0;0;0;7;7;11.57;0.83;-1.00;0.00;7;0;0;39.00;0
0;0;0;0;0;7;7;11.23;0.81;-1.00;0.00;7;0;0;40.00;0
0;0;0;0;0;7;7;10.85;0.78;-1.00;0.00;7;0;0;41.00;0
0;0;0;0;1;8;8;9.99;0.72;-1.00;0.00;8;0;0;42.00;0
0;0;0;0;0;8;8;10.46;0.75;-1.00;0.00;8;0;0;43.00;0
0;0;0;0;0;8;8;10.85;0.78;-1.00;0.00;8;0;0;44.00;0
0;0;0;0;0;8;8;10.74;0.77;-1.00;0.00;8;0;0;45.00;0
0;0;0;0;0;8;8;10.72;0.77;-1.00;0.00;8;0;0;46.00;0
0;0;0;0;0;8;8;11.58;0.83;-1.00;0.00;8;0;0;47.00;0
0;0;0;0;1;9;9;10.56;0.76;-1.00;0.00;9;0;0;48.00;0
0;0;0;0;0;9;9;10.91;0.79;-1.00;0.00;9;0;0;49.00;0
0;0;0;0;0;9;9;10.85;0.78;-1.00;0.00;9;0;0;50.00;0
0;0;0;0;0;9;9;10.53;0.76;-1.00;0.00;9;0;0;51.00;0
0;0;0;0;0;9;9;10.41;0.75;-1.00;0.00;9;0;0;52.00;0
0;0;0;0;0;9;9;10.59;0.76;-1.00;0.00;9;0;0;53.00;0
0;0;0;0;1;10;10;10.21;0.73;-1.00;0.00;10;0;0;54.00;0
0;0;0;0;0;10;10;10.73;0.77;-1.00;0.00;10;0;0;55.00;0
0;0;0;0;0;10;10;10.83;0.78;-1.00;0.00;10;0;0;56.00;0
0;0;0;0;0;10;10;10.73;0.77;-1.00;0.00;10;0;0;57.00;0
0;0;0;0;0;10;10;10.74;0.77;-1.00;0.00;10;0;0;58.00;0
