tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime;emissions_CO2_abs;emissions_CO_abs;emissions_HC_abs;emissions_NOx_abs;emissions_PMx_abs;emissions_electricity_abs;emissions_fuel_abs
59.00;E2D2_0;85.60;13.64;0.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.0 emissions_flow_0.0;59.00;flow_0.0;0;675.81;1.06;0.00;9.65;car;;0;0.00;172925.16;1879.17;12.67;69.42;2.97;0.00;55171.16
69.00;E2D2_0;85.60;12.17;6.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.1 emissions_flow_0.1;63.00;flow_0.1;0;675.81;0.94;0.00;10.10;car;;0;0.00;161987.89;1609.13;10.99;62.59;2.48;0.00;51682.56
72.00;E2D2_0;85.60;13.48;12.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.2 emissions_flow_0.2;60.00;flow_0.2;0;675.81;1.01;0.00;10.47;car;;0;0.00;171097.70;1902.89;12.72;68.74;2.94;0.00;54587.99
79.00;E2D2_0;85.60;13.81;18.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.3 emissions_flow_0.3;61.00;flow_0.3;0;675.81;1.08;0.00;10.56;car;;0;0.00;174507.68;1843.26;12.51;69.02;2.85;0.00;55676.42
84.00;E2D2_0;85.60;13.48;24.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.4 emissions_flow_0.4;60.00;flow_0.4;0;675.81;1.03;0.00;10.34;car;;0;0.00;164820.74;1749.41;11.83;65.58;2.74;0.00;52585.70
101.00;E2D2_0;85.60;10.48;30.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.5 emissions_flow_0.5;71.00;flow_0.5;0;675.81;0.83;0.00;10.01;car;;0;0.00;165285.08;2083.86;13.46;65.55;2.81;0.00;52733.12
102.00;E2D2_0;85.60;13.01;36.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.6 emissions_flow_0.6;66.00;flow_0.6;0;675.81;1.05;0.00;16.01;car;;0;0.00;179245.07;2129.79;14.02;71.99;3.12;0.00;57187.07
107.00;E2D2_0;85.60;11.91;42.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.7 emissions_flow_0.7;65.00;flow_0.7;0;675.81;0.89;0.00;9.29;car;;0;0.00;162287.24;1746.98;11.81;63.84;2.61;0.00;51777.38
111.00;E2D2_0;85.60;11.93;48.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.8 emissions_flow_0.8;63.00;flow_0.8;0;675.81;0.94;0.00;9.91;car;;0;0.00;157742.43;1854.73;12.22;63.69;2.78;0.00;50326.73
123.00;E2D2_0;85.60;10.68;54.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.9 emissions_flow_0.9;69.00;flow_0.9;0;675.81;0.86;0.00;10.35;car;;0;0.00;160621.27;1855.47;12.31;63.18;2.61;0.00;51245.60
124.00;E2D2_0;85.60;13.12;60.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.10 emissions_flow_0.10;64.00;flow_0.10;0;675.81;1.09;0.00;13.85;car;;0;0.00;179489.94;2162.09;14.13;72.80;3.22;0.00;57265.02
127.00;E2D2_0;85.60;12.87;66.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.11 emissions_flow_0.11;61.00;flow_0.11;0;675.81;1.03;0.00;10.68;car;;0;0.00;172757.02;2006.72;13.25;69.94;3.06;0.00;55117.11
132.00;E2D2_0;85.60;13.61;72.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.12 emissions_flow_0.12;60.00;flow_0.12;0;675.81;1.05;0.00;9.70;car;;0;0.00;173890.60;1807.95;12.22;68.32;2.82;0.00;55479.80
137.00;E2D2_0;85.60;13.74;78.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.13 emissions_flow_0.13;59.00;flow_0.13;0;675.81;1.12;0.00;9.11;car;;0;0.00;164782.44;1676.06;11.46;65.37;2.69;0.00;52573.67
145.00;E2D2_0;85.60;13.19;84.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.14 emissions_flow_0.14;61.00;flow_0.14;0;675.81;0.99;0.00;10.11;car;;0;0.00;171598.54;1878.02;12.68;68.19;2.86;0.00;54748.01
154.00;E2D2_0;85.60;11.58;90.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.15 emissions_flow_0.15;64.00;flow_0.15;0;675.81;0.93;0.00;9.87;car;;0;0.00;165571.58;1802.01;12.18;65.80;2.75;0.00;52825.07
163.00;E2D2_0;85.60;11.56;96.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.16 emissions_flow_0.16;67.00;flow_0.16;0;675.81;0.88;0.00;10.23;car;;0;0.00;167606.96;1916.97;12.73;65.35;2.66;0.00;53474.56
166.00;E2D2_0;85.60;12.25;102.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.17 emissions_flow_0.17;64.00;flow_0.17;0;675.81;0.94;0.00;10.66;car;;0;0.00;164843.81;1848.06;12.38;65.81;2.79;0.00;52592.71
172.00;E2D2_0;85.60;12.35;108.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.18 emissions_flow_0.18;64.00;flow_0.18;0;675.81;0.94;0.00;10.42;car;;0;0.00;165564.81;1848.85;12.43;66.13;2.80;0.00;52822.74
174.00;E2D2_0;85.60;12.99;114.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.19 emissions_flow_0.19;60.00;flow_0.19;0;675.81;1.16;0.00;10.24;car;;0;0.00;169954.10;1956.49;12.99;68.86;3.02;0.00;54222.86
180.00;E2D2_0;85.60;13.25;120.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.20 emissions_flow_0.20;60.00;flow_0.20;0;675.81;1.02;0.00;10.17;car;;0;0.00;169676.12;1808.02;12.28;67.84;2.88;0.00;54134.71
186.00;E2D2_0;85.60;13.86;126.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.21 emissions_flow_0.21;60.00;flow_0.21;0;675.81;1.01;0.00;9.95;car;;0;0.00;176208.75;1870.45;12.78;70.62;2.99;0.00;56218.85
193.00;E2D2_0;85.60;12.66;132.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.22 emissions_flow_0.22;61.00;flow_0.22;0;675.81;0.97;0.00;9.56;car;;0;0.00;173906.04;1903.28;12.80;68.99;2.89;0.00;55484.25
206.00;E2D2_0;85.60;11.25;138.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.23 emissions_flow_0.23;68.00;flow_0.23;0;675.81;0.89;0.00;11.49;car;;0;0.00;164607.32;2003.34;13.10;65.43;2.80;0.00;52517.02
214.00;E2D2_0;85.60;10.96;144.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.24 emissions_flow_0.24;70.00;flow_0.24;0;675.81;0.83;0.00;9.63;car;;0;0.00;162123.68;1907.85;12.59;64.07;2.68;0.00;51724.75
