tripinfo_id,tripinfo_vType,day,sim,CO2_abs,departDelay,waitingTime,waitingCount,timeLoss
flow_0.0,car,1,1,242224.952847,0.0,23.0,1,38.91
flow_0.1,car,1,1,250168.818843,0.4,19.0,1,35.88
flow_0.2,car,1,1,238355.610061,0.8,18.0,1,33.22
flow_0.3,car,1,1,233975.09925,0.2,15.0,1,30.91
flow_0.4,car,1,1,196606.937829,0.6,6.0,1,23.33
flow_0.5,car,1,1,221089.959282,0.0,10.0,1,26.47
flow_0.6,car,1,1,195375.730703,0.4,5.0,1,19.66
flow_0.7,car,1,1,192533.395246,0.8,1.0,1,18.56
flow_0.8,car,1,1,172438.561274,0.2,0.0,0,13.12
flow_0.9,car,1,1,187731.398161,0.6,0.0,0,13.79
flow_0.10,car,1,1,167508.559771,0.0,0.0,0,11.06
flow_0.11,car,1,1,170602.025857,0.4,0.0,0,11.14
flow_0.12,car,1,1,164807.792503,0.8,0.0,0,10.36
flow_0.13,car,1,1,171489.803533,0.2,0.0,0,11.89
flow_0.14,car,1,1,166967.466073,0.6,0.0,0,11.14
flow_0.15,car,1,1,161161.257892,0.0,0.0,0,11.59
flow_0.16,car,1,1,163750.961425,0.4,0.0,0,11.02
flow_0.17,car,1,1,163433.367528,0.8,0.0,0,11.98
flow_0.18,car,1,1,167183.468988,0.2,0.0,0,11.31
flow_0.19,car,1,1,174486.442652,0.6,0.0,0,11.18
flow_0.20,car,1,1,172738.702335,0.0,0.0,0,11.54
flow_0.21,car,1,1,325609.336428,0.4,58.0,1,73.55
flow_0.22,car,1,1,302259.585566,0.8,52.0,1,68.22
flow_0.23,car,1,1,287823.615495,0.2,48.0,1,65.34
flow_0.24,car,1,1,292716.818553,0.6,48.0,1,63.44
flow_0.25,car,1,1,289996.843158,0.0,45.0,1,61.4
flow_0.26,car,1,1,290011.594646,0.4,44.0,1,60.68
flow_0.27,car,1,1,291240.073298,0.8,42.0,1,58.74
flow_0.28,car,1,1,275863.706617,0.2,38.0,1,54.08
flow_0.29,car,1,1,280339.705471,0.6,37.0,1,53.73
flow_0.30,car,1,1,270920.548586,0.0,36.0,1,51.96
flow_0.31,car,1,1,266255.513479,0.4,31.0,1,48.15
flow_0.32,car,1,1,262164.650927,0.8,31.0,1,45.45
flow_0.33,car,1,1,252804.582016,0.2,28.0,1,43.44
flow_0.34,car,1,1,251794.088268,0.6,22.0,1,39.41
flow_0.35,car,1,1,242637.1531,0.0,22.0,1,36.88
flow_0.36,car,1,1,240580.065643,0.4,18.0,1,35.12
flow_0.37,car,1,1,227392.846491,0.8,17.0,1,31.95
flow_0.38,car,1,1,207643.326381,0.2,11.0,1,27.72
flow_0.39,car,1,1,223412.283909,0.6,13.0,1,26.92
flow_0.40,car,1,1,210597.312907,0.0,6.0,1,22.77
flow_0.41,car,1,1,211631.981281,0.4,4.0,1,22.52
flow_0.42,car,1,1,209784.327727,0.8,4.0,1,19.77
flow_0.43,car,1,1,203169.52953,0.2,2.0,1,17.65
flow_0.44,car,1,1,192466.117331,0.6,0.0,0,13.65
flow_0.45,car,1,1,170619.879753,0.0,0.0,0,10.67
flow_0.46,car,1,1,161987.151898,0.4,0.0,0,11.69
flow_0.47,car,1,1,164755.331595,0.8,0.0,0,10.51
flow_0.48,car,1,1,157615.120556,0.2,0.0,0,10.58
flow_0.49,car,1,1,164327.521023,0.6,0.0,0,11.0
flow_0.50,car,1,1,169438.40954,0.0,0.0,0,10.22
flow_0.51,car,1,1,172421.367035,0.4,0.0,0,10.48
flow_0.52,car,1,1,168644.937761,0.8,0.0,0,10.24
flow_0.53,car,1,1,172462.629894,0.2,0.0,0,11.01
flow_0.54,car,1,1,171496.491101,0.6,0.0,0,10.85
flow_0.55,car,1,1,319461.346675,0.0,58.0,1,73.72
flow_0.56,car,1,1,328594.406139,0.4,59.0,1,73.4
flow_0.57,car,1,1,315962.890924,0.8,52.0,1,71.14
flow_0.58,car,1,1,306998.294383,0.2,51.0,1,68.18
flow_0.59,car,1,1,303008.454837,0.6,51.0,1,65.79
flow_0.60,car,1,1,308971.108362,0.0,48.0,1,63.79
flow_0.61,car,1,1,297688.964178,0.4,44.0,1,60.39
flow_0.62,car,1,1,291552.226754,0.8,39.0,1,56.84
flow_0.63,car,1,1,275861.858213,0.2,36.0,1,53.22
flow_0.64,car,1,1,261273.447613,0.6,33.0,1,48.91
flow_0.65,car,1,1,254464.062285,0.0,32.0,1,47.33
flow_0.66,car,1,1,243762.75993,0.4,28.0,1,44.56
