tripinfo_id,tripinfo_vType,day,sim,CO2_abs,departDelay,waitingTime,waitingCount,timeLoss
flow_0.0,car,1,1,242224.95,0.0,23.0,1,38.91
flow_0.1,car,1,1,250168.82,0.4,19.0,1,35.88
flow_0.2,car,1,1,238355.61,0.8,18.0,1,33.22
flow_0.3,car,1,1,233975.1,0.2,15.0,1,30.91
flow_0.4,car,1,1,196606.94,0.6,6.0,1,23.33
flow_0.5,car,1,1,221089.96,0.0,10.0,1,26.47
flow_0.6,car,1,1,195375.73,0.4,5.0,1,19.66
flow_0.7,car,1,1,192533.4,0.8,1.0,1,18.56
flow_0.8,car,1,1,172438.56,0.2,0.0,0,13.12
flow_0.9,car,1,1,187731.4,0.6,0.0,0,13.79
flow_0.10,car,1,1,167508.56,0.0,0.0,0,11.06
flow_0.11,car,1,1,170602.03,0.4,0.0,0,11.14
flow_0.12,car,1,1,164807.79,0.8,0.0,0,10.36
flow_0.13,car,1,1,171489.8,0.2,0.0,0,11.89
flow_0.14,car,1,1,166967.47,0.6,0.0,0,11.14
flow_0.15,car,1,1,161161.26,0.0,0.0,0,11.59
flow_0.16,car,1,1,163750.96,0.4,0.0,0,11.02
flow_0.17,car,1,1,163433.37,0.8,0.0,0,11.98
flow_0.18,car,1,1,167183.47,0.2,0.0,0,11.31
flow_0.19,car,1,1,174486.44,0.6,0.0,0,11.18
flow_0.20,car,1,1,172738.7,0.0,0.0,0,11.54
flow_0.21,car,1,1,325609.34,0.4,58.0,1,73.55
flow_0.22,car,1,1,302259.59,0.8,52.0,1,68.22
flow_0.23,car,1,1,287823.62,0.2,48.0,1,65.34
flow_0.24,car,1,1,292716.82,0.6,48.0,1,63.44
flow_0.25,car,1,1,289996.84,0.0,45.0,1,61.4
flow_0.26,car,1,1,290011.59,0.4,44.0,1,60.68
flow_0.27,car,1,1,291240.07,0.8,42.0,1,58.74
flow_0.28,car,1,1,275863.71,0.2,38.0,1,54.08
flow_0.29,car,1,1,280339.71,0.6,37.0,1,53.73
flow_0.30,car,1,1,270920.55,0.0,36.0,1,51.96
flow_0.31,car,1,1,266255.51,0.4,31.0,1,48.15
flow_0.32,car,1,1,262164.65,0.8,31.0,1,45.45
flow_0.33,car,1,1,252804.58,0.2,28.0,1,43.44
flow_0.34,car,1,1,251794.09,0.6,22.0,1,39.41
flow_0.35,car,1,1,242637.15,0.0,22.0,1,36.88
flow_0.36,car,1,1,240580.07,0.4,18.0,1,35.12
