tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime;emissions_CO2_abs;emissions_CO_abs;emissions_HC_abs;emissions_NOx_abs;emissions_PMx_abs;emissions_electricity_abs;emissions_fuel_abs
86.00;E2J1_0;100.00;13.39;0.00;0.00;A2A3_0;4.60;0.00;tripinfo_flow_0.0 emissions_flow_0.0;86.00;flow_0.0;0;632.42;1.06;0.00;38.91;car;;1;23.00;242224.952847;5114.243572;28.915085;99.905087;5.621984;0;77276.694761
162.00;E2J1_0;100.00;9.37;0.00;0.00;A2A1_0;10.10;0.00;tripinfo_flow_1.0 emissions_flow_1.0;162.00;flow_1.0;0;632.08;0.94;60.00;37.96;bus;;1;8.00;386936.728716;12041.071591;63.508907;159.542592;10.745306;0;123438.086602
176.00;E2J1_0;100.00;13.65;93.00;0.40;A2A3_0;4.60;0.00;tripinfo_flow_0.1 emissions_flow_0.1;83.00;flow_0.1;0;632.42;1.01;0.00;35.88;car;;1;19.00;250168.818843;4905.660938;28.266531;102.819341;5.578618;0;79811.623668
265.00;E2J1_0;100.00;13.08;186.00;0.80;A2A3_0;4.60;0.00;tripinfo_flow_0.2 emissions_flow_0.2;79.00;flow_0.2;0;632.42;1.08;0.00;33.22;car;;1;18.00;238355.610061;4563.063416;26.397690;98.254722;5.282360;0;76042.916501
356.00;E2J1_0;100.00;13.87;278.00;0.20;A2A3_0;4.60;0.00;tripinfo_flow_0.3 emissions_flow_0.3;78.00;flow_0.3;0;632.42;1.03;0.00;30.91;car;;1;15.00;233975.099250;4225.653836;24.747653;95.396389;4.964538;0;74646.078561
450.00;E2J1_0;100.00;11.31;371.00;0.60;A2A3_0;4.60;0.00;tripinfo_flow_0.4 emissions_flow_0.4;79.00;flow_0.4;0;632.42;0.83;0.00;23.33;car;;1;6.00;196606.937829;3317.205835;19.756004;78.631727;3.819877;0;62724.809919
536.00;E2J1_0;100.00;13.27;463.00;0.00;A2A3_0;4.60;0.00;tripinfo_flow_0.5 emissions_flow_0.5;73.00;flow_0.5;0;632.42;1.05;0.00;26.47;car;;1;10.00;221089.959282;3652.388672;21.858623;90.526686;4.555036;0;70535.626531
628.00;E2J1_0;100.00;11.84;556.00;0.40;A2A3_0;4.60;0.00;tripinfo_flow_0.6 emissions_flow_0.6;72.00;flow_0.6;0;632.42;0.89;0.00;19.66;car;;1;5.00;195375.730703;3019.743839;18.423689;79.204906;3.794921;0;62332.164713
717.00;E2J1_0;100.00;12.92;649.00;0.80;A2A3_0;4.60;0.00;tripinfo_flow_0.7 emissions_flow_0.7;68.00;flow_0.7;0;632.42;0.94;0.00;18.56;car;;1;1.00;192533.395246;2719.285478;16.996481;78.558957;3.686040;0;61425.638652
808.00;E2J1_0;100.00;11.64;741.00;0.20;A2A3_0;4.60;0.00;tripinfo_flow_0.8 emissions_flow_0.8;67.00;flow_0.8;0;632.42;0.86;0.00;13.12;car;;0;0.00;172438.561274;2183.434192;14.104806;68.898333;2.989878;0;55015.247146
894.00;E2J1_0;100.00;13.42;834.00;0.60;A2A3_0;4.60;0.00;tripinfo_flow_0.9 emissions_flow_0.9;60.00;flow_0.9;0;632.42;1.09;0.00;13.79;car;;0;0.00;187731.398161;2165.744544;14.309580;75.888227;3.314842;0;59894.651227
984.00;E2J1_0;100.00;13.15;926.00;0.00;A2A3_0;4.60;0.00;tripinfo_flow_0.10 emissions_flow_0.10;58.00;flow_0.10;0;632.42;1.03;0.00;11.06;car;;0;0.00;167508.559771;1869.846892;12.514621;67.605762;2.928695;0;53442.801455
1076.00;E2J1_0;100.00;13.37;1019.00;0.40;A2A3_0;4.60;0.00;tripinfo_flow_0.11 emissions_flow_0.11;57.00;flow_0.11;0;632.42;1.05;0.00;11.14;car;;0;0.00;170602.025857;1939.317939;12.967670;69.397161;3.044722;0;54429.523146
1169.00;E2J1_0;100.00;12.67;1112.00;0.80;A2A3_0;4.60;0.00;tripinfo_flow_0.12 emissions_flow_0.12;57.00;flow_0.12;0;632.42;1.12;0.00;10.36;car;;0;0.00;164807.792503;1908.258258;12.740155;67.570413;3.002916;0;52580.684437
1263.00;E2J1_0;100.00;13.45;1204.00;0.20;A2A3_0;4.60;0.00;tripinfo_flow_0.13 emissions_flow_0.13;59.00;flow_0.13;0;632.42;0.99;0.00;11.89;car;;0;0.00;171489.803533;2047.385832;13.443291;69.763876;3.112862;0;54712.622233
1358.00;E2J1_0;100.00;11.94;1297.00;0.60;A2A3_0;4.60;0.00;tripinfo_flow_0.14 emissions_flow_0.14;61.00;flow_0.14;0;632.42;0.93;0.00;11.14;car;;0;0.00;166967.466073;1929.470555;12.782121;66.490514;2.817015;0;53270.180620
1454.00;E2J1_0;100.00;11.52;1389.00;0.00;A2A3_0;4.60;0.00;tripinfo_flow_0.15 emissions_flow_0.15;65.00;flow_0.15;0;632.42;0.88;0.00;11.59;car;;0;0.00;161161.257892;1947.282589;12.766306;64.624393;2.787154;0;51417.408915
1543.00;E2J1_0;100.00;11.88;1482.00;0.40;A2A3_0;4.60;0.00;tripinfo_flow_0.16 emissions_flow_0.16;61.00;flow_0.16;0;632.42;0.94;0.00;11.02;car;;0;0.00;163750.961425;1965.983216;12.993467;66.928252;2.967450;0;52243.364827
1637.00;E2J1_0;100.00;11.94;1575.00;0.80;A2A3_0;4.60;0.00;tripinfo_flow_0.17 emissions_flow_0.17;62.00;flow_0.17;0;632.42;0.94;0.00;11.98;car;;0;0.00;163433.367528;1929.224768;12.706358;66.167727;2.896982;0;52142.295197
1724.00;E2J1_0;100.00;12.93;1667.00;0.20;A2A3_0;4.60;0.00;tripinfo_flow_0.18 emissions_flow_0.18;57.00;flow_0.18;0;632.42;1.16;0.00;11.31;car;;0;0.00;167183.468988;1910.937840;12.581239;66.944484;2.903994;0;53339.218692
1817.00;E2J1_0;100.00;13.17;1760.00;0.60;A2A3_0;4.60;0.00;tripinfo_flow_0.19 emissions_flow_0.19;57.00;flow_0.19;0;632.42;1.02;0.00;11.18;car;;0;0.00;174486.442652;1975.288874;13.072657;70.015997;3.043000;0;55669.205296
