tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime;emissions_CO2_abs;emissions_CO_abs;emissions_HC_abs;emissions_NOx_abs;emissions_PMx_abs;emissions_electricity_abs;emissions_fuel_abs
59.00;E2D2_0;85.60;13.64;0.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.0 emissions_flow_0.0;59.00;flow_0.0;0;675.81;1.06;0.00;9.71;car;;0;0.00;172724.53;1854.83;12.38;68.63;2.90;0.00;55107.47
77.00;C0B0_0;85.60;9.62;0.00;0.00;A2A3_0;7.60;0.00;tripinfo_flow_1.0 emissions_flow_1.0;77.00;flow_1.0;0;661.89;0.94;0.00;9.38;bus;;0;0.00;158578.22;2226.91;13.94;63.64;2.83;0.00;50592.66
729.00;C0B0_0;85.60;9.93;650.00;0.38;A2A3_0;7.60;0.00;tripinfo_flow_1.1 emissions_flow_1.1;79.00;flow_1.1;0;661.89;1.01;0.00;10.46;bus;;0;0.00;164517.04;2293.87;14.34;64.95;2.81;0.00;52487.69
1349.00;E2D2_0;85.60;13.78;1290.00;0.45;A4B4_0;4.60;0.00;tripinfo_flow_0.1 emissions_flow_0.1;59.00;flow_0.1;0;675.81;1.08;0.00;9.80;car;;0;0.00;172774.93;1826.08;12.44;69.25;2.94;0.00;55123.34
1378.00;C0B0_0;85.60;9.09;1300.00;0.76;A2A3_0;7.60;0.00;tripinfo_flow_1.2 emissions_flow_1.2;78.00;flow_1.2;0;661.89;1.03;0.00;9.75;bus;;0;0.00;158778.25;2183.90;13.72;62.91;2.73;0.00;50656.77
2030.00;C0B0_0;85.60;8.75;1949.00;0.14;A2A3_0;7.60;0.00;tripinfo_flow_1.3 emissions_flow_1.3;81.00;flow_1.3;0;661.89;0.83;0.00;11.41;bus;;0;0.00;175826.89;2563.55;15.84;69.78;3.09;0.00;56095.73
2639.00;E2D2_0;85.60;13.49;2580.00;0.90;A4B4_0;4.60;0.00;tripinfo_flow_0.2 emissions_flow_0.2;59.00;flow_0.2;0;675.81;1.05;0.00;9.84;car;;0;0.00;172024.26;1864.42;12.58;69.47;2.99;0.00;54883.65
2678.00;C0B0_0;85.60;9.78;2599.00;0.52;A2A3_0;7.60;0.00;tripinfo_flow_1.4 emissions_flow_1.4;79.00;flow_1.4;0;661.89;0.89;0.00;10.43;bus;;0;0.00;176106.15;2515.20;15.60;69.04;2.99;0.00;56185.14
3326.00;C0B0_0;85.60;8.97;3249.00;0.90;A2A3_0;7.60;0.00;tripinfo_flow_1.5 emissions_flow_1.5;77.00;flow_1.5;0;661.89;0.94;0.00;9.26;bus;;0;0.00;163927.64;2238.33;14.07;64.32;2.74;0.00;52299.83
3938.00;E2D2_0;85.60;11.68;3869.00;0.35;A4B4_0;4.60;0.00;tripinfo_flow_0.3 emissions_flow_0.3;69.00;flow_0.3;0;675.81;0.86;0.00;10.60;car;;0;0.00;163280.97;1849.79;12.35;63.89;2.59;0.00;52094.29
